,FIPS,hh_income,house_value,State,County,Tract_ID
2115,36081113300,108500.0,563600.0,NEW YORK,Queens County,113300
2116,36081113900,66081.0,761900.0,NEW YORK,Queens County,113900
2117,36081114100,106705.0,910300.0,NEW YORK,Queens County,114100
2118,36081114700,87781.0,926900.0,NEW YORK,Queens County,114700
2119,36081115100,81563.0,916700.0,NEW YORK,Queens County,115100
2120,36081115500,79519.0,873800.0,NEW YORK,Queens County,115500
2121,36081115700,59722.0,910600.0,NEW YORK,Queens County,115700
2122,36081115900,67981.0,960200.0,NEW YORK,Queens County,115900
2123,36081116100,29832.0,385700.0,NEW YORK,Queens County,116100
2124,36081116301,30642.0,450000.0,NEW YORK,Queens County,116301
2125,36081116302,60916.0,568700.0,NEW YORK,Queens County,116302
2126,36081116700,53482.0,905400.0,NEW YORK,Queens County,116700
2127,36081117100,61154.0,1095700.0,NEW YORK,Queens County,117100
2128,36081117500,82545.0,844800.0,NEW YORK,Queens County,117500
2129,36081118100,78625.0,825600.0,NEW YORK,Queens County,118100
2130,36081118500,50000.0,837500.0,NEW YORK,Queens County,118500
2131,36081118700,51250.0,886500.0,NEW YORK,Queens County,118700
2132,36081118900,46426.0,893600.0,NEW YORK,Queens County,118900
2133,36081119100,37886.0,868200.0,NEW YORK,Queens County,119100
2134,36081119300,46864.0,848200.0,NEW YORK,Queens County,119300
2135,36081119500,89583.0,812500.0,NEW YORK,Queens County,119500
2136,36081119900,100000.0,899600.0,NEW YORK,Queens County,119900
2137,36081120100,65156.0,943300.0,NEW YORK,Queens County,120100
2138,36081120300,56250.0,1070200.0,NEW YORK,Queens County,120300
2139,36081120500,25292.0,833300.0,NEW YORK,Queens County,120500
2140,36081120701,94196.0,849100.0,NEW YORK,Queens County,120701
2143,36081121500,88771.0,822400.0,NEW YORK,Queens County,121500
2144,36081122300,84130.0,983800.0,NEW YORK,Queens County,122300
2145,36081122702,32378.0,759977.6464903357,NEW YORK,Queens County,122702
2146,36081122703,71742.0,574700.0,NEW YORK,Queens County,122703
2147,36081122704,60625.0,581400.0,NEW YORK,Queens County,122704
2148,36081124100,81250.0,841800.0,NEW YORK,Queens County,124100
2149,36081124700,74922.0,842700.0,NEW YORK,Queens County,124700
2150,36081125700,71852.0,694900.0,NEW YORK,Queens County,125700
